method,family,k,dataset,auc_mean,stability_nogueira,bacc,n_feat,runtime_fs,difficulty_tier,dsk_median_auc,relative_auc
mrmr,Filter,3,Liver_GSE76427,0.9699,0.7378,0.9511,3.0,,Easy,0.9678,0.0021
mrmr,Filter,3,Lung_GSE19804,0.981,0.6233,0.9521,3.0,,Easy,0.9788,0.0022
mrmr,Filter,3,Pancreatic_GSE16515,0.9248,0.3222,0.8642,3.0,,Medium,0.8955,0.0293
mrmr,Filter,3,Prostate_GSE6919_U95Av2,0.6707,0.0398,0.6135,3.0,,Hard,0.6976,-0.0269
mrmr,Filter,3,Renal_GSE53757,0.8896,0.3733,0.8539,3.0,,Medium,0.8768,0.0128
mrmr,Filter,5,Bladder_GSE31189,0.5511,0.0259,0.5331,5.0,,Hard,0.5564,-0.0053
mrmr,Filter,5,Breast_GSE70947,0.9403,0.66,0.8822,5.0,,Medium,0.914,0.0263
mrmr,Filter,5,Colorectal_GSE44076,0.9982,0.588,0.9916,5.0,,Easy,0.9982,0.0
mrmr,Filter,5,Colorectal_GSE44861,0.9225,0.6606,0.8782,5.0,,Medium,0.8876,0.0349
mrmr,Filter,5,Leukemia_GSE63270,0.9984,0.7933,0.9869,5.0,,Easy,0.9988,-0.0004
mrmr,Filter,5,Liver_GSE14520_U133A,0.9803,0.894,0.9592,5.0,,Easy,0.9797,0.0006
